日時,金額,借方科目,摘要,貸方科目,金額
2018/1/1,"269,658",,2017年12月,未払金,"269,658 "
2018/1/1,"600,000",未収金,2017年12月,,"600,000 "
2018/1/2,"1,144 ",新聞図書費,資料代,未払金,"1,144 "
2018/1/2,"1,000 ",旅費交通費,交通費,現金,"1,000 "
2018/1/3,"2,000 ",旅費交通費,交通費,現金,"2,000 "
2018/1/3,810 ,新聞図書費,資料代,未払金,810 
2018/1/3,"1,398 ",消耗品費,,未払金,"1,398 "
2018/1/4,510 ,会議費,,現金,510 
2018/1/4,,利子割引料,,普通預金,0 
2018/1/5,"1,080 ",接待交際費,木下さん,現金,"1,080 "
2018/1/5,"2,000 ",旅費交通費,交通費,現金,"2,000 "
2018/1/6,324 ,消耗品費,文房具,現金,324 
2018/1/6,216 ,消耗品費,文房具,現金,216 
2018/1/6,"4,860 ",新聞図書費,資料代,未払金,"4,860 "
2018/1/7,"2,000 ",旅費交通費,交通費,現金,"2,000 "
2018/1/7,"1,000 ",旅費交通費,交通費,現金,"1,000 "
2018/1/8,998 ,消耗品費,文房具,現金,998 
2018/1/8,311 ,消耗品費,,現金,311 
2018/1/8,"2,000 ",旅費交通費,交通費,現金,"2,000 "
2018/1/9,835 ,会議費,大戸屋,現金,835 
2018/1/10,320 ,会議費,タリーズ,現金,320 
2018/1/10,890 ,会議費,ととや,現金,890 
2018/1/11,890 ,会議費,ととや,現金,890 
2018/1/12,"1,653 ",会議費,,現金,"1,653 "
2018/1/12,836 ,接待交際費,,現金,836 
2018/1/12,490 ,会議費,ベックス,現金,490 
2018/1/13,"2,000 ",旅費交通費,交通費,現金,"2,000 "
2018/1/13,"4,644 ",消耗品費,文房具,現金,"4,644 "
2018/1/14,"3,024 ",新聞図書費,資料代,未払金,"3,024 "
2018/1/14,605 ,会議費,ととや,現金,605 
2018/1/15,890 ,会議費,ととや,現金,890 
2018/1/15,"2,808 ",新聞図書費,資料代,未払金,"2,808 "
2018/1/16,890 ,会議費,ととや,現金,890 
2018/1/16,"1,000 ",旅費交通費,交通費,現金,"1,000 "
2018/1/16,"4,980 ",消耗品費,ゴミ箱,未払金,"4,980 "
2018/1/16,453 ,消耗品費,文房具,未払金,453 
2018/1/16,"2,000 ",会議費,,現金,"2,000 "
2018/1/17,890 ,会議費,ととや,現金,890 
2018/1/17,"7,640 ",消耗品費,,未払金,"7,640 "
2018/1/17,"3,790 ",消耗品費,,現金,"3,790 "
2018/1/18,302 ,消耗品費,文房具,現金,302 
2018/1/18,890 ,会議費,,現金,890 
2018/1/19,"1,080 ",支払手数料,三井住友銀行,現金,"1,080 "
2018/1/19,"5,400 ",新聞図書費,資料代,未払金,"5,400 "
2018/1/19,324 ,支払手数料,横浜銀行,現金,324 
2018/1/20,"2,000 ",旅費交通費,,現金,"2,000 "
2018/1/20,"1,620 ",接待交際費,,現金,"1,620 "
2018/1/20,216 ,消耗品費,,現金,216 
2018/1/21,"1,620 ",接待交際費,,現金,"1,620 "
2018/1/22,"3,000 ",旅費交通費,,現金,"3,000 "
2018/1/22,890 ,会議費,ととや,現金,890 
2018/1/22,320 ,,,現金,320 
2018/1/23,890 ,会議費,ととや,現金,890 
2018/1/24,890 ,会議費,ととや,現金,890 
2018/1/25,890 ,会議費,ととや,現金,890 
2018/1/26,"269,658 ",未払金,楽天カード,普通預金,"269,658 "
2018/1/26,"44,554 ",地代家賃,家賃,普通預金,"44,554 "
2018/1/31,"600,000 ",普通預金,GNW(2017/12),未収金,"600,000 "